---------------------------------------------------
Timestamp | CPU Usage (%) | RAM Used (MB) | RAM Free (MB)
---------------------------------------------------
2025-06-29 20:37:19 | 1.9 | 2012 | 125038
2025-06-29 20:37:20 | 1.9 | 2033 | 125015
2025-06-29 20:37:21 | 6.5 | 2045 | 125004
2025-06-29 20:37:22 | 57.1 | 1997 | 125051
2025-06-29 20:37:24 | 5.1 | 2114 | 124934
2025-06-29 20:37:25 | 1.8 | 2098 | 124949
2025-06-29 20:37:26 | 6.4 | 2617 | 124430
2025-06-29 20:37:27 | 12.9 | 3398 | 123641
2025-06-29 20:37:28 | 12.7 | 3449 | 123570
2025-06-29 20:37:29 | 12.9 | 3452 | 123548
2025-06-29 20:37:31 | 12.8 | 3453 | 123529
2025-06-29 20:37:32 | 12.9 | 3455 | 123514
2025-06-29 20:37:33 | 12.7 | 3458 | 123498
2025-06-29 20:37:34 | 12.7 | 3459 | 123484
2025-06-29 20:37:35 | 12.7 | 3460 | 123472
2025-06-29 20:37:37 | 12.8 | 3461 | 123461
2025-06-29 20:37:38 | 13 | 3460 | 123450
2025-06-29 20:37:39 | 12.7 | 3459 | 123442
2025-06-29 20:37:40 | 12.7 | 3460 | 123433
2025-06-29 20:37:41 | 12.6 | 3458 | 123426
2025-06-29 20:37:43 | 12.6 | 3457 | 123420
2025-06-29 20:37:44 | 12.6 | 3461 | 123409
2025-06-29 20:37:45 | 12.7 | 3460 | 123401
2025-06-29 20:37:46 | 12.5 | 3464 | 123390
2025-06-29 20:37:47 | 13 | 3469 | 123377
2025-06-29 20:37:48 | 12.7 | 3472 | 123367
2025-06-29 20:37:50 | 12.9 | 3475 | 123359
2025-06-29 20:37:51 | 12.6 | 2543 | 124284
2025-06-29 20:37:52 | 12.6 | 2545 | 124275
2025-06-29 20:37:53 | 12.6 | 2545 | 124267
2025-06-29 20:37:54 | 12.6 | 2547 | 124259
2025-06-29 20:37:56 | 12.6 | 2548 | 124252
2025-06-29 20:37:57 | 12.8 | 2552 | 124244
2025-06-29 20:37:58 | 12.7 | 2556 | 124235
2025-06-29 20:37:59 | 12.6 | 2557 | 124227
2025-06-29 20:38:00 | 12.6 | 2559 | 124220
2025-06-29 20:38:02 | 12.7 | 2561 | 124212
2025-06-29 20:38:03 | 12.7 | 2562 | 124206
2025-06-29 20:38:04 | 12.6 | 2566 | 124198
2025-06-29 20:38:05 | 12.8 | 2569 | 124189
2025-06-29 20:38:06 | 12.7 | 2570 | 124182
2025-06-29 20:38:07 | 12.9 | 2573 | 124175
2025-06-29 20:38:09 | 12.9 | 2576 | 124167
2025-06-29 20:38:10 | 12.7 | 2577 | 124160
2025-06-29 20:38:11 | 12.4 | 2581 | 124153
2025-06-29 20:38:12 | 12.8 | 2582 | 124146
2025-06-29 20:38:13 | 12.7 | 2584 | 124140
2025-06-29 20:38:15 | 12.6 | 2585 | 124135
2025-06-29 20:38:16 | 12.6 | 2587 | 124127
2025-06-29 20:38:17 | 12.7 | 2590 | 124121
2025-06-29 20:38:18 | 12.8 | 2592 | 124114
2025-06-29 20:38:19 | 12.9 | 2592 | 124108
2025-06-29 20:38:21 | 12.5 | 2594 | 124103
2025-06-29 20:38:22 | 12.8 | 2596 | 124097
2025-06-29 20:38:23 | 12.7 | 2599 | 124090
2025-06-29 20:38:24 | 12.7 | 2601 | 124085
2025-06-29 20:38:25 | 12.6 | 2601 | 124079
2025-06-29 20:38:27 | 12.6 | 2604 | 124072
2025-06-29 20:38:28 | 12.7 | 2600 | 124073
2025-06-29 20:38:29 | 12.6 | 2600 | 124069
2025-06-29 20:38:30 | 12.6 | 2603 | 124061
2025-06-29 20:38:31 | 12.7 | 2605 | 124055
2025-06-29 20:38:32 | 12.7 | 2605 | 124051
2025-06-29 20:38:34 | 12.5 | 2607 | 124046
2025-06-29 20:38:35 | 12.9 | 2607 | 124042
2025-06-29 20:38:36 | 12.6 | 2609 | 124036
2025-06-29 20:38:37 | 12.6 | 2612 | 124029
2025-06-29 20:38:38 | 12.5 | 2613 | 124024
2025-06-29 20:38:40 | 12.4 | 2615 | 124019
2025-06-29 20:38:41 | 12.6 | 2617 | 124013
2025-06-29 20:38:42 | 12.7 | 2618 | 124008
2025-06-29 20:38:43 | 12.5 | 2620 | 124003
2025-06-29 20:38:44 | 12.6 | 2622 | 123997
2025-06-29 20:38:45 | 12.6 | 2624 | 123991
2025-06-29 20:38:47 | 12.6 | 2626 | 123987
2025-06-29 20:38:48 | 12.8 | 2626 | 123983
2025-06-29 20:38:49 | 12.6 | 2628 | 123977
2025-06-29 20:38:50 | 12.8 | 2630 | 123971
2025-06-29 20:38:51 | 12.6 | 2632 | 123966
2025-06-29 20:38:53 | 12.9 | 2635 | 123960
2025-06-29 20:38:54 | 12.5 | 2636 | 123955
2025-06-29 20:38:55 | 12.5 | 2639 | 123950
2025-06-29 20:38:56 | 12.7 | 2640 | 123945
2025-06-29 20:38:57 | 12.6 | 2642 | 123939
2025-06-29 20:38:59 | 12.9 | 2644 | 123934
2025-06-29 20:39:00 | 12.7 | 2645 | 123930
2025-06-29 20:39:01 | 12.8 | 2648 | 123924
2025-06-29 20:39:02 | 12.7 | 2648 | 123920
2025-06-29 20:39:03 | 12.4 | 2649 | 123915
2025-06-29 20:39:04 | 12.5 | 2652 | 123911
2025-06-29 20:39:06 | 12.8 | 2653 | 123906
2025-06-29 20:39:07 | 12.7 | 2655 | 123900
2025-06-29 20:39:08 | 12.5 | 2656 | 123897
2025-06-29 20:39:09 | 12.8 | 2657 | 123892
2025-06-29 20:39:10 | 12.7 | 2659 | 123887
2025-06-29 20:39:12 | 12.5 | 2661 | 123883
2025-06-29 20:39:13 | 12.4 | 2662 | 123879
2025-06-29 20:39:14 | 12.9 | 2664 | 123875
2025-06-29 20:39:15 | 12.8 | 2665 | 123870
2025-06-29 20:39:16 | 12.6 | 2664 | 123867
2025-06-29 20:39:17 | 12.9 | 2666 | 123863
2025-06-29 20:39:19 | 12.7 | 2667 | 123859
2025-06-29 20:39:20 | 12.9 | 2668 | 123855
2025-06-29 20:39:21 | 12.6 | 2669 | 123850
2025-06-29 20:39:22 | 12.7 | 2671 | 123846
2025-06-29 20:39:23 | 12.7 | 2672 | 123842
2025-06-29 20:39:25 | 12.7 | 2673 | 123838
2025-06-29 20:39:26 | 12.7 | 2675 | 123833
2025-06-29 20:39:27 | 12.6 | 2676 | 123830
2025-06-29 20:39:28 | 12.5 | 2678 | 123825
2025-06-29 20:39:29 | 12.6 | 2678 | 123822
2025-06-29 20:39:31 | 12.6 | 2679 | 123818
2025-06-29 20:39:32 | 12.5 | 2681 | 123814
2025-06-29 20:39:33 | 12.6 | 2684 | 123808
2025-06-29 20:39:34 | 12.6 | 2685 | 123804
2025-06-29 20:39:35 | 12.6 | 2686 | 123800
2025-06-29 20:39:36 | 12.5 | 2687 | 123796
2025-06-29 20:39:38 | 12.7 | 2689 | 123792
2025-06-29 20:39:39 | 12.9 | 2690 | 123788
2025-06-29 20:39:40 | 12.7 | 2692 | 123784
2025-06-29 20:39:41 | 12.6 | 2692 | 123781
2025-06-29 20:39:42 | 12.7 | 2694 | 123776
2025-06-29 20:39:44 | 12.7 | 2694 | 123773
2025-06-29 20:39:45 | 12.6 | 2697 | 123769
2025-06-29 20:39:46 | 12.7 | 2698 | 123765
2025-06-29 20:39:47 | 12.6 | 2700 | 123760
2025-06-29 20:39:48 | 12.8 | 2699 | 123758
2025-06-29 20:39:49 | 12.5 | 2702 | 123752
2025-06-29 20:39:51 | 12.6 | 2703 | 123749
2025-06-29 20:39:52 | 12.5 | 2703 | 123746
